id,label
TEST_0000,5
TEST_0001,5
TEST_0002,2
TEST_0003,1
TEST_0004,5
TEST_0005,5
TEST_0006,2
TEST_0007,1
TEST_0008,5
TEST_0009,1
TEST_0010,1
TEST_0011,5
TEST_0012,2
TEST_0013,1
TEST_0014,5
TEST_0015,1
TEST_0016,5
TEST_0017,0
TEST_0018,2
TEST_0019,1
TEST_0020,2
TEST_0021,1
TEST_0022,5
TEST_0023,5
TEST_0024,5
TEST_0025,1
TEST_0026,2
TEST_0027,5
TEST_0028,5
TEST_0029,2
TEST_0030,5
TEST_0031,2
TEST_0032,1
TEST_0033,1
TEST_0034,5
TEST_0035,5
TEST_0036,5
TEST_0037,1
TEST_0038,5
TEST_0039,1
TEST_0040,0
TEST_0041,5
TEST_0042,1
TEST_0043,1
TEST_0044,1
TEST_0045,5
TEST_0046,5
TEST_0047,1
TEST_0048,5
TEST_0049,0
TEST_0050,5
TEST_0051,1
TEST_0052,1
TEST_0053,1
TEST_0054,1
TEST_0055,1
TEST_0056,5
TEST_0057,5
TEST_0058,2
TEST_0059,1
TEST_0060,5
TEST_0061,4
TEST_0062,5
TEST_0063,0
TEST_0064,2
TEST_0065,5
TEST_0066,2
TEST_0067,1
TEST_0068,1
TEST_0069,5
TEST_0070,5
TEST_0071,5
TEST_0072,3
TEST_0073,1
TEST_0074,5
TEST_0075,1
TEST_0076,5
TEST_0077,1
TEST_0078,5
TEST_0079,1
TEST_0080,5
TEST_0081,2
TEST_0082,1
TEST_0083,1
TEST_0084,5
TEST_0085,5
TEST_0086,0
TEST_0087,5
TEST_0088,5
TEST_0089,5
TEST_0090,3
TEST_0091,5
TEST_0092,5
TEST_0093,0
TEST_0094,5
TEST_0095,5
TEST_0096,5
TEST_0097,1
TEST_0098,1
TEST_0099,5
TEST_0100,1
TEST_0101,5
TEST_0102,5
TEST_0103,1
TEST_0104,2
TEST_0105,5
TEST_0106,1
TEST_0107,3
TEST_0108,5
TEST_0109,2
TEST_0110,3
TEST_0111,0
TEST_0112,5
TEST_0113,5
TEST_0114,2
TEST_0115,5
TEST_0116,2
TEST_0117,5
TEST_0118,0
TEST_0119,5
TEST_0120,5
TEST_0121,1
TEST_0122,2
TEST_0123,5
TEST_0124,5
TEST_0125,5
TEST_0126,5
TEST_0127,5
TEST_0128,5
TEST_0129,5
TEST_0130,3
TEST_0131,5
TEST_0132,5
TEST_0133,5
TEST_0134,2
TEST_0135,5
TEST_0136,5
TEST_0137,5
TEST_0138,2
TEST_0139,0
TEST_0140,5
TEST_0141,4
TEST_0142,5
TEST_0143,5
TEST_0144,5
TEST_0145,2
TEST_0146,5
TEST_0147,5
TEST_0148,5
TEST_0149,5
TEST_0150,1
TEST_0151,5
TEST_0152,1
TEST_0153,4
TEST_0154,5
TEST_0155,5
TEST_0156,5
TEST_0157,5
TEST_0158,1
TEST_0159,5
TEST_0160,5
TEST_0161,4
TEST_0162,4
TEST_0163,5
TEST_0164,5
TEST_0165,4
TEST_0166,5
TEST_0167,1
TEST_0168,2
TEST_0169,4
TEST_0170,1
TEST_0171,1
TEST_0172,1
TEST_0173,3
TEST_0174,5
TEST_0175,5
TEST_0176,2
TEST_0177,5
TEST_0178,5
TEST_0179,0
TEST_0180,5
TEST_0181,5
TEST_0182,1
TEST_0183,3
TEST_0184,5
TEST_0185,2
TEST_0186,5
TEST_0187,5
TEST_0188,0
TEST_0189,5
TEST_0190,5
TEST_0191,5
TEST_0192,1
TEST_0193,1
TEST_0194,5
TEST_0195,5
TEST_0196,5
TEST_0197,5
TEST_0198,5
TEST_0199,5
TEST_0200,1
TEST_0201,5
TEST_0202,5
TEST_0203,1
TEST_0204,4
TEST_0205,1
TEST_0206,5
TEST_0207,5
TEST_0208,5
TEST_0209,5
TEST_0210,5
TEST_0211,5
TEST_0212,0
TEST_0213,5
TEST_0214,5
TEST_0215,5
TEST_0216,5
TEST_0217,0
TEST_0218,2
TEST_0219,5
TEST_0220,0
TEST_0221,5
TEST_0222,1
TEST_0223,5
TEST_0224,0
TEST_0225,5
TEST_0226,1
TEST_0227,5
TEST_0228,5
TEST_0229,5
TEST_0230,2
TEST_0231,5
TEST_0232,5
TEST_0233,5
