연도,일시,측정소,PM2.5
4,01-03 00:00,공주,0.023320384743163017
4,01-03 01:00,공주,0.022794251988247166
4,01-03 02:00,공주,0.00822098562181936
4,01-03 03:00,공주,0.014267063544031122
4,01-03 04:00,공주,0.023135865388190076
4,01-03 05:00,공주,0.022389358491642947
4,01-03 06:00,공주,0.026422886983062256
4,01-03 07:00,공주,0.0387805614857856
4,01-03 08:00,공주,0.05776194292661618
4,01-03 09:00,공주,0.07729701508545929
4,01-03 10:00,공주,0.08251494377858246
4,01-03 11:00,공주,0.07421855187979032
4,01-03 12:00,공주,0.05737180748942093
4,01-03 13:00,공주,0.059464909925107334
4,01-03 14:00,공주,0.05630523437298393
4,01-03 15:00,공주,0.05339397669492035
4,01-03 16:00,공주,0.051347614258467796
4,01-03 17:00,공주,0.05355283344690052
4,01-03 18:00,공주,0.04744014680597608
4,01-03 19:00,공주,0.050723574106722964
4,01-03 20:00,공주,0.055393739314686344
4,01-03 21:00,공주,0.052127256748312416
4,01-03 22:00,공주,0.04823845840095831
4,01-03 23:00,공주,0.04773192114576246
4,01-04 00:00,공주,0.023320384743163017
4,01-04 01:00,공주,0.022794251988247166
4,01-04 02:00,공주,0.00822098562181936
4,01-04 03:00,공주,0.014267063544031122
4,01-04 04:00,공주,0.023135865388190076
4,01-04 05:00,공주,0.022389358491642947
4,01-04 06:00,공주,0.026422886983062256
4,01-04 07:00,공주,0.0387805614857856
4,01-04 08:00,공주,0.05776194292661618
4,01-04 09:00,공주,0.07729701508545929
4,01-04 10:00,공주,0.08251494377858246
4,01-04 11:00,공주,0.07421855187979032
4,01-04 12:00,공주,0.05737180748942093
4,01-04 13:00,공주,0.059464909925107334
4,01-04 14:00,공주,0.05630523437298393
4,01-04 15:00,공주,0.05339397669492035
4,01-04 16:00,공주,0.051347614258467796
4,01-04 17:00,공주,0.05355283344690052
4,01-04 18:00,공주,0.04744014680597608
4,01-04 19:00,공주,0.050723574106722964
4,01-04 20:00,공주,0.055393739314686344
4,01-04 21:00,공주,0.052127256748312416
4,01-04 22:00,공주,0.04823845840095831
4,01-04 23:00,공주,0.04773192114576246
4,01-05 00:00,공주,0.023320384743163017
4,01-05 01:00,공주,0.022794251988247166
4,01-05 02:00,공주,0.00822098562181936
4,01-05 03:00,공주,0.014267063544031122
4,01-05 04:00,공주,0.023135865388190076
4,01-05 05:00,공주,0.022389358491642947
4,01-05 06:00,공주,0.026422886983062256
4,01-05 07:00,공주,0.0387805614857856
4,01-05 08:00,공주,0.05776194292661618
4,01-05 09:00,공주,0.07729701508545929
4,01-05 10:00,공주,0.08251494377858246
4,01-05 11:00,공주,0.07421855187979032
4,01-05 12:00,공주,0.05737180748942093
4,01-05 13:00,공주,0.059464909925107334
4,01-05 14:00,공주,0.05630523437298393
4,01-05 15:00,공주,0.05339397669492035
4,01-05 16:00,공주,0.051347614258467796
4,01-05 17:00,공주,0.05355283344690052
4,01-05 18:00,공주,0.04744014680597608
4,01-05 19:00,공주,0.050723574106722964
4,01-05 20:00,공주,0.055393739314686344
4,01-05 21:00,공주,0.052127256748312416
4,01-05 22:00,공주,0.04823845840095831
4,01-05 23:00,공주,0.04773192114576246
4,01-08 00:00,공주,0.023320384743163017
4,01-08 01:00,공주,0.022794251988247166
4,01-08 02:00,공주,0.00822098562181936
4,01-08 03:00,공주,0.014267063544031122
4,01-08 04:00,공주,0.023135865388190076
4,01-08 05:00,공주,0.022389358491642947
4,01-08 06:00,공주,0.026422886983062256
4,01-08 07:00,공주,0.0387805614857856
4,01-08 08:00,공주,0.05776194292661618
4,01-08 09:00,공주,0.07729701508545929
4,01-08 10:00,공주,0.08251494377858246
4,01-08 11:00,공주,0.07421855187979032
4,01-08 12:00,공주,0.05737180748942093
4,01-08 13:00,공주,0.059464909925107334
4,01-08 14:00,공주,0.05630523437298393
4,01-08 15:00,공주,0.05339397669492035
4,01-08 16:00,공주,0.051347614258467796
4,01-08 17:00,공주,0.05355283344690052
4,01-08 18:00,공주,0.04744014680597608
4,01-08 19:00,공주,0.050723574106722964
4,01-08 20:00,공주,0.055393739314686344
4,01-08 21:00,공주,0.052127256748312416
4,01-08 22:00,공주,0.04823845840095831
4,01-08 23:00,공주,0.04773192114576246
4,01-09 00:00,공주,0.023320384743163017
4,01-09 01:00,공주,0.022794251988247166
4,01-09 02:00,공주,0.00822098562181936
4,01-09 03:00,공주,0.014267063544031122
4,01-09 04:00,공주,0.023135865388190076
4,01-09 05:00,공주,0.022389358491642947
4,01-09 06:00,공주,0.026422886983062256
4,01-09 07:00,공주,0.0387805614857856
4,01-09 08:00,공주,0.05776194292661618
4,01-09 09:00,공주,0.07729701508545929
4,01-09 10:00,공주,0.08251494377858246
4,01-09 11:00,공주,0.07421855187979032
4,01-09 12:00,공주,0.05737180748942093
4,01-09 13:00,공주,0.059464909925107334
4,01-09 14:00,공주,0.05630523437298393
4,01-09 15:00,공주,0.05339397669492035
4,01-09 16:00,공주,0.051347614258467796
4,01-09 17:00,공주,0.05355283344690052
4,01-09 18:00,공주,0.04744014680597608
4,01-09 19:00,공주,0.050723574106722964
4,01-09 20:00,공주,0.055393739314686344
4,01-09 21:00,공주,0.052127256748312416
4,01-09 22:00,공주,0.04823845840095831
4,01-09 23:00,공주,0.04773192114576246
4,01-10 00:00,공주,0.023320384743163017
4,01-10 01:00,공주,0.022794251988247166
4,01-10 02:00,공주,0.00822098562181936
4,01-10 03:00,공주,0.014267063544031122
4,01-10 04:00,공주,0.023135865388190076
4,01-10 05:00,공주,0.022389358491642947
4,01-10 06:00,공주,0.026422886983062256
4,01-10 07:00,공주,0.0387805614857856
4,01-10 08:00,공주,0.05776194292661618
4,01-10 09:00,공주,0.07729701508545929
4,01-10 10:00,공주,0.08251494377858246
4,01-10 11:00,공주,0.07421855187979032
4,01-10 12:00,공주,0.05737180748942093
4,01-10 13:00,공주,0.059464909925107334
4,01-10 14:00,공주,0.05630523437298393
4,01-10 15:00,공주,0.05339397669492035
4,01-10 16:00,공주,0.051347614258467796
4,01-10 17:00,공주,0.05355283344690052
4,01-10 18:00,공주,0.04744014680597608
4,01-10 19:00,공주,0.050723574106722964
4,01-10 20:00,공주,0.055393739314686344
4,01-10 21:00,공주,0.052127256748312416
4,01-10 22:00,공주,0.04823845840095831
4,01-10 23:00,공주,0.04773192114576246
4,01-13 00:00,공주,0.023320384743163017
4,01-13 01:00,공주,0.022794251988247166
4,01-13 02:00,공주,0.00822098562181936
4,01-13 03:00,공주,0.014267063544031122
4,01-13 04:00,공주,0.023135865388190076
4,01-13 05:00,공주,0.022389358491642947
4,01-13 06:00,공주,0.026422886983062256
4,01-13 07:00,공주,0.0387805614857856
4,01-13 08:00,공주,0.05776194292661618
4,01-13 09:00,공주,0.07729701508545929
4,01-13 10:00,공주,0.08251494377858246
4,01-13 11:00,공주,0.07421855187979032
4,01-13 12:00,공주,0.05737180748942093
4,01-13 13:00,공주,0.059464909925107334
