?�도,?�시,측정??PM2.5,
4,2023-01-03 0:00,공주,0.063
4,2023-01-03 1:00,공주,0.064
4,2023-01-03 2:00,공주,0.068
4,2023-01-03 3:00,공주,0.068
4,2023-01-03 4:00,공주,0.06
4,2023-01-03 5:00,공주,0.071
4,2023-01-03 6:00,공주,0.068
4,2023-01-03 7:00,공주,0.068
4,2023-01-03 8:00,공주,0.084
4,2023-01-03 9:00,공주,0.076
4,2023-01-03 10:00,공주,0.068
4,2023-01-03 11:00,공주,0.072
4,2023-01-03 12:00,공주,0.052
4,2023-01-03 13:00,공주,0.052
4,2023-01-03 14:00,공주,0.061
4,2023-01-03 15:00,공주,0.052
4,2023-01-03 16:00,공주,0.06
4,2023-01-03 17:00,공주,0.056
4,2023-01-03 18:00,공주,0.06
4,2023-01-03 19:00,공주,0.084
4,2023-01-03 20:00,공주,0.084
4,2023-01-03 21:00,공주,0.092
4,2023-01-03 22:00,공주,0.08
4,2023-01-03 23:00,공주,0.084
4,2023-01-04 0:00,공주,0.092
4,2023-01-04 1:00,공주,0.08
4,2023-01-04 2:00,공주,0.07
4,2023-01-04 3:00,공주,0.108
4,2023-01-04 4:00,공주,0.088
4,2023-01-04 5:00,공주,0.092
4,2023-01-04 6:00,공주,0.088
4,2023-01-04 7:00,공주,0.084
4,2023-01-04 8:00,공주,0.103
4,2023-01-04 9:00,공주,0.09
4,2023-01-04 10:00,공주,0.096
4,2023-01-04 11:00,공주,0.077
4,2023-01-04 12:00,공주,0.068
4,2023-01-04 13:00,공주,0.064
4,2023-01-04 14:00,공주,0.085
4,2023-01-04 15:00,공주,0.084
4,2023-01-04 16:00,공주,0.08
4,2023-01-04 17:00,공주,0.084
4,2023-01-04 18:00,공주,0.08
4,2023-01-04 19:00,공주,0.084
4,2023-01-04 20:00,공주,0.15
4,2023-01-04 21:00,공주,0.076
4,2023-01-04 22:00,공주,0.092
4,2023-01-04 23:00,공주,0.068
4,2023-01-05 0:00,공주,0.096
4,2023-01-05 1:00,공주,0.116
4,2023-01-05 2:00,공주,0.096
4,2023-01-05 3:00,공주,0.088
4,2023-01-05 4:00,공주,0.123
4,2023-01-05 5:00,공주,0.088
4,2023-01-05 6:00,공주,0.108
4,2023-01-05 7:00,공주,0.124
4,2023-01-05 8:00,공주,0.112
4,2023-01-05 9:00,공주,0.12
4,2023-01-05 10:00,공주,0.11
4,2023-01-05 11:00,공주,0.108
4,2023-01-05 12:00,공주,0.092
4,2023-01-05 13:00,공주,0.08
4,2023-01-05 14:00,공주,0.08
4,2023-01-05 15:00,공주,0.08
4,2023-01-05 16:00,공주,0.08
4,2023-01-05 17:00,공주,0.068
4,2023-01-05 18:00,공주,0.096
4,2023-01-05 19:00,공주,0.068
4,2023-01-05 20:00,공주,0.092
4,2023-01-05 21:00,공주,0.104
4,2023-01-05 22:00,공주,0.096
4,2023-01-05 23:00,공주,0.088
4,2023-01-08 0:00,공주,0.092
4,2023-01-08 1:00,공주,0.097
4,2023-01-08 2:00,공주,0.1
4,2023-01-08 3:00,공주,0.1
4,2023-01-08 4:00,공주,0.084
4,2023-01-08 5:00,공주,0.104
4,2023-01-08 6:00,공주,0.1
4,2023-01-08 7:00,공주,0.068
4,2023-01-08 8:00,공주,0.116
4,2023-01-08 9:00,공주,0.112
4,2023-01-08 10:00,공주,0.124
4,2023-01-08 11:00,공주,0.124
4,2023-01-08 12:00,공주,0.084
4,2023-01-08 13:00,공주,0.092
4,2023-01-08 14:00,공주,0.088
4,2023-01-08 15:00,공주,0.076
4,2023-01-08 16:00,공주,0.084
4,2023-01-08 17:00,공주,0.08
4,2023-01-08 18:00,공주,0.084
4,2023-01-08 19:00,공주,0.108
4,2023-01-08 20:00,공주,0.104
4,2023-01-08 21:00,공주,0.116
4,2023-01-08 22:00,공주,0.092
4,2023-01-08 23:00,공주,0.12
4,2023-01-09 0:00,공주,0.116
4,2023-01-09 1:00,공주,0.104
4,2023-01-09 2:00,공주,0.112
4,2023-01-09 3:00,공주,0.136
4,2023-01-09 4:00,공주,0.12
4,2023-01-09 5:00,공주,0.12
4,2023-01-09 6:00,공주,0.108
4,2023-01-09 7:00,공주,0.12
4,2023-01-09 8:00,공주,0.13
4,2023-01-09 9:00,공주,0.14
4,2023-01-09 10:00,공주,0.124
4,2023-01-09 11:00,공주,0.108
4,2023-01-09 12:00,공주,0.092
4,2023-01-09 13:00,공주,0.096
4,2023-01-09 14:00,공주,0.104
4,2023-01-09 15:00,공주,0.088
4,2023-01-09 16:00,공주,0.088
4,2023-01-09 17:00,공주,0.096
4,2023-01-09 18:00,공주,0.104
4,2023-01-09 19:00,공주,0.092
4,2023-01-09 20:00,공주,0.108
4,2023-01-09 21:00,공주,0.112
4,2023-01-09 22:00,공주,0.112
4,2023-01-09 23:00,공주,0.068
4,2023-01-10 0:00,공주,0.104
4,2023-01-10 1:00,공주,0.104
4,2023-01-10 2:00,공주,0.108
4,2023-01-10 3:00,공주,0.09
4,2023-01-10 4:00,공주,0.108
4,2023-01-10 5:00,공주,0.1
4,2023-01-10 6:00,공주,0.096
4,2023-01-10 7:00,공주,0.108
4,2023-01-10 8:00,공주,0.12
4,2023-01-10 9:00,공주,0.124
4,2023-01-10 10:00,공주,0.108
4,2023-01-10 11:00,공주,0.108
4,2023-01-10 12:00,공주,0.108
4,2023-01-10 13:00,공주,0.076
4,2023-01-10 14:00,공주,0.08
4,2023-01-10 15:00,공주,0.096
4,2023-01-10 16:00,공주,0.084
4,2023-01-10 17:00,공주,0.068
4,2023-01-10 18:00,공주,0.096
4,2023-01-10 19:00,공주,0.068
4,2023-01-10 20:00,공주,0.096
4,2023-01-10 21:00,공주,0.108
4,2023-01-10 22:00,공주,0.088
4,2023-01-10 23:00,공주,0.108
4,2023-01-13 0:00,공주,0.272
4,2023-01-13 1:00,공주,0.276
4,2023-01-13 2:00,공주,0.264
4,2023-01-13 3:00,공주,0.256
4,2023-01-13 4:00,공주,0.228
4,2023-01-13 5:00,공주,0.26
4,2023-01-13 6:00,공주,0.256
4,2023-01-13 7:00,공주,0.067
4,2023-01-13 8:00,공주,0.248
4,2023-01-13 9:00,공주,0.272
4,2023-01-13 10:00,공주,0.264
4,2023-01-13 11:00,공주,0.232
4,2023-01-13 12:00,공주,0.172
4,2023-01-13 13:00,공주,0.188
4,2023-01-13 14:00,공주,0.172
4,2023-01-13 15:00,공주,0.144
4,2023-01-13 16:00,공주,0.164
4,2023-01-13 17:00,공주,0.172
4,2023-01-13 18:00,공주,0.148
4,2023-01-13 19:00,공주,0.176
4,2023-01-13 20:00,공주,0.208
4,2023-01-13 21:00,공주,0.208
4,2023-01-13 22:00,공주,0.204
4,2023-01-13 23:00,공주,0.224
4,2023-01-14 0:00,공주,0.208
4,2023-01-14 1:00,공주,0.204
4,2023-01-14 2:00,공주,0.188
4,2023-01-14 3:00,공주,0.216
4,2023-01-14 4:00,공주,0.228
4,2023-01-14 5:00,공주,0.172
4,2023-01-14 6:00,공주,0.197
4,2023-01-14 7:00,공주,0.156
4,2023-01-14 8:00,공주,0.204
4,2023-01-14 9:00,공주,0.204
4,2023-01-14 10:00,공주,0.164
4,2023-01-14 11:00,공주,0.144
4,2023-01-14 12:00,공주,0.116
4,2023-01-14 13:00,공주,0.104
4,2023-01-14 14:00,공주,0.116
4,2023-01-14 15:00,공주,0.116
4,2023-01-14 16:00,공주,0.096
