,연도,일시,측정소,PM2.5
0,4,01-03 00:00,공주,0.11344374
1,4,01-03 01:00,공주,0.11141705
2,4,01-03 02:00,공주,0.112302184
3,4,01-03 03:00,공주,0.11154202
4,4,01-03 04:00,공주,0.11202052
5,4,01-03 05:00,공주,0.11227312
6,4,01-03 06:00,공주,0.11306722
7,4,01-03 07:00,공주,0.118123315
8,4,01-03 08:00,공주,0.12781039
9,4,01-03 09:00,공주,0.13494633
10,4,01-03 10:00,공주,0.12683253
11,4,01-03 11:00,공주,0.1153848
12,4,01-03 12:00,공주,0.10408053
13,4,01-03 13:00,공주,0.09573092
14,4,01-03 14:00,공주,0.09163983
15,4,01-03 15:00,공주,0.092389025
16,4,01-03 16:00,공주,0.090673216
17,4,01-03 17:00,공주,0.09467421
18,4,01-03 18:00,공주,0.09587784
19,4,01-03 19:00,공주,0.099420846
20,4,01-03 20:00,공주,0.10192914
21,4,01-03 21:00,공주,0.099394515
22,4,01-03 22:00,공주,0.10542098
23,4,01-03 23:00,공주,0.10974844
24,4,01-04 00:00,공주,0.11344374
25,4,01-04 01:00,공주,0.11141705
26,4,01-04 02:00,공주,0.112302184
27,4,01-04 03:00,공주,0.11154202
28,4,01-04 04:00,공주,0.11202052
29,4,01-04 05:00,공주,0.11227312
30,4,01-04 06:00,공주,0.11306722
31,4,01-04 07:00,공주,0.118123315
32,4,01-04 08:00,공주,0.12781039
33,4,01-04 09:00,공주,0.13494633
34,4,01-04 10:00,공주,0.12683253
35,4,01-04 11:00,공주,0.1153848
36,4,01-04 12:00,공주,0.10408053
37,4,01-04 13:00,공주,0.09573092
38,4,01-04 14:00,공주,0.09163983
39,4,01-04 15:00,공주,0.092389025
40,4,01-04 16:00,공주,0.090673216
41,4,01-04 17:00,공주,0.09467421
42,4,01-04 18:00,공주,0.09587784
43,4,01-04 19:00,공주,0.099420846
44,4,01-04 20:00,공주,0.10192914
45,4,01-04 21:00,공주,0.099394515
46,4,01-04 22:00,공주,0.10542098
47,4,01-04 23:00,공주,0.10974844
48,4,01-05 00:00,공주,0.11344374
49,4,01-05 01:00,공주,0.11141705
50,4,01-05 02:00,공주,0.112302184
51,4,01-05 03:00,공주,0.11154202
52,4,01-05 04:00,공주,0.11202052
53,4,01-05 05:00,공주,0.11227312
54,4,01-05 06:00,공주,0.11306722
55,4,01-05 07:00,공주,0.118123315
56,4,01-05 08:00,공주,0.12781039
57,4,01-05 09:00,공주,0.13494633
58,4,01-05 10:00,공주,0.12683253
59,4,01-05 11:00,공주,0.1153848
60,4,01-05 12:00,공주,0.10408053
61,4,01-05 13:00,공주,0.09573092
62,4,01-05 14:00,공주,0.09163983
63,4,01-05 15:00,공주,0.092389025
64,4,01-05 16:00,공주,0.090673216
65,4,01-05 17:00,공주,0.09467421
66,4,01-05 18:00,공주,0.09587784
67,4,01-05 19:00,공주,0.099420846
68,4,01-05 20:00,공주,0.10192914
69,4,01-05 21:00,공주,0.099394515
70,4,01-05 22:00,공주,0.10542098
71,4,01-05 23:00,공주,0.10974844
72,4,01-08 00:00,공주,0.11344374
73,4,01-08 01:00,공주,0.11141705
74,4,01-08 02:00,공주,0.112302184
75,4,01-08 03:00,공주,0.11154202
76,4,01-08 04:00,공주,0.11202052
77,4,01-08 05:00,공주,0.11227312
78,4,01-08 06:00,공주,0.11306722
79,4,01-08 07:00,공주,0.118123315
80,4,01-08 08:00,공주,0.12781039
