ID,Calories_Burned
TEST_0000,174.4126
TEST_0001,191.75682
TEST_0002,51.82682
TEST_0003,162.27194
TEST_0004,225.31969
TEST_0005,178.29523
TEST_0006,96.58365
TEST_0007,43.10985
TEST_0008,77.024025
TEST_0009,59.8463
TEST_0010,124.213425
TEST_0011,55.608585
TEST_0012,13.098714
TEST_0013,174.49454
TEST_0014,234.3168
TEST_0015,13.376107
TEST_0016,99.467926
TEST_0017,130.28842
TEST_0018,159.03505
TEST_0019,7.5646095
TEST_0020,49.701077
TEST_0021,90.57031
TEST_0022,24.489338
TEST_0023,85.759346
TEST_0024,19.686522
TEST_0025,133.58069
TEST_0026,106.57596
TEST_0027,189.66934
TEST_0028,121.35347
TEST_0029,99.48133
TEST_0030,24.343935
TEST_0031,242.29225
TEST_0032,54.770832
TEST_0033,47.153015
TEST_0034,129.90218
TEST_0035,114.98648
TEST_0036,36.583805
TEST_0037,131.39511
TEST_0038,10.987951
TEST_0039,129.17017
TEST_0040,194.7925
TEST_0041,168.25919
TEST_0042,145.83301
TEST_0043,59.94364
TEST_0044,67.07225
TEST_0045,52.200672
TEST_0046,76.12879
TEST_0047,197.22063
TEST_0048,135.80185
TEST_0049,127.76059
TEST_0050,11.31656
TEST_0051,110.83479
TEST_0052,159.12482
TEST_0053,96.957596
TEST_0054,68.35331
TEST_0055,89.1292
TEST_0056,164.54141
TEST_0057,17.338163
TEST_0058,32.04054
TEST_0059,94.7125
TEST_0060,39.266827
TEST_0061,108.47919
TEST_0062,90.54111
TEST_0063,50.40235
TEST_0064,33.43061
TEST_0065,136.02075
TEST_0066,232.51102
TEST_0067,125.07183
TEST_0068,100.11723
TEST_0069,44.542667
TEST_0070,127.94237
TEST_0071,28.314981
TEST_0072,9.651533
TEST_0073,152.00174
TEST_0074,33.49883
TEST_0075,92.14114
TEST_0076,64.34068
TEST_0077,65.42546
TEST_0078,44.674725
TEST_0079,182.52394
TEST_0080,174.53253
TEST_0081,137.6511
TEST_0082,92.84491
TEST_0083,102.44089
TEST_0084,58.911636
TEST_0085,180.56912
TEST_0086,126.85845
TEST_0087,17.913904
TEST_0088,143.54758
TEST_0089,41.820335
TEST_0090,39.1649
TEST_0091,36.78861
TEST_0092,25.706005
TEST_0093,195.19919
TEST_0094,4.8668203
TEST_0095,10.165215
TEST_0096,238.05898
TEST_0097,143.94771
TEST_0098,185.4739
TEST_0099,172.85287
TEST_0100,13.287676
TEST_0101,98.51047
TEST_0102,190.51057
TEST_0103,161.57458
TEST_0104,65.27282
TEST_0105,164.23692
TEST_0106,37.53312
TEST_0107,20.775171
TEST_0108,185.44188
TEST_0109,29.145367
TEST_0110,108.43495
TEST_0111,186.18338
TEST_0112,49.870853
TEST_0113,147.40549
TEST_0114,58.299595
TEST_0115,81.21619
TEST_0116,79.846275
TEST_0117,64.93811
TEST_0118,15.079122
TEST_0119,6.632076
TEST_0120,184.9318
TEST_0121,46.99632
TEST_0122,42.150127
TEST_0123,19.745045
TEST_0124,31.988516
TEST_0125,99.434074
TEST_0126,47.369003
TEST_0127,52.922024
TEST_0128,103.784645
TEST_0129,77.22535
TEST_0130,60.689476
TEST_0131,188.75964
TEST_0132,69.96419
TEST_0133,137.79883
TEST_0134,103.09441
TEST_0135,72.430885
TEST_0136,72.61865
TEST_0137,64.48764
TEST_0138,179.50926
TEST_0139,23.696667
TEST_0140,117.86654
TEST_0141,17.040974
TEST_0142,111.48623
TEST_0143,42.825172
TEST_0144,10.673523
TEST_0145,31.662998
TEST_0146,162.7674
TEST_0147,82.0399
TEST_0148,121.98761
TEST_0149,89.11547
TEST_0150,42.68411
TEST_0151,82.37445
TEST_0152,68.9413
TEST_0153,19.490654
TEST_0154,95.71738
TEST_0155,56.62575
TEST_0156,131.68945
TEST_0157,37.673943
TEST_0158,200.98611
TEST_0159,40.441036
TEST_0160,130.36913
TEST_0161,99.65874
TEST_0162,116.36949
TEST_0163,141.14674
TEST_0164,56.10339
TEST_0165,32.711323
TEST_0166,41.165295
TEST_0167,130.28117
TEST_0168,202.8695
TEST_0169,112.28613
TEST_0170,73.73877
TEST_0171,79.113045
TEST_0172,5.3348627
TEST_0173,81.510994
TEST_0174,15.58549
TEST_0175,47.21138
TEST_0176,7.9174175
TEST_0177,60.59265
TEST_0178,178.76195
TEST_0179,185.97566
TEST_0180,44.592808
TEST_0181,82.302986
TEST_0182,67.36966
TEST_0183,117.53496
TEST_0184,126.68207
TEST_0185,82.668625
TEST_0186,12.136534
TEST_0187,46.197018
TEST_0188,158.0374
TEST_0189,6.2702603
TEST_0190,40.789684
TEST_0191,6.8838253
TEST_0192,163.31143
TEST_0193,42.80665
TEST_0194,176.77664
TEST_0195,100.575195
TEST_0196,6.63768
TEST_0197,216.89235
TEST_0198,4.0151186
TEST_0199,8.66645
TEST_0200,8.325525
TEST_0201,131.73494
TEST_0202,22.683725
TEST_0203,42.318996
TEST_0204,95.61684
TEST_0205,90.79663
TEST_0206,148.25163
TEST_0207,82.82292
TEST_0208,15.442654
TEST_0209,67.20387
TEST_0210,62.13595
TEST_0211,194.91354
TEST_0212,165.11852
TEST_0213,17.333004
TEST_0214,50.716286
TEST_0215,61.648808
TEST_0216,87.08952
TEST_0217,140.9916
TEST_0218,38.604427
TEST_0219,98.85553
TEST_0220,167.38722
TEST_0221,66.86292
TEST_0222,137.62085
TEST_0223,190.63754
TEST_0224,78.721725
TEST_0225,30.301844
TEST_0226,65.52762
TEST_0227,135.15187
TEST_0228,57.520714
TEST_0229,6.3981237
TEST_0230,56.599457
TEST_0231,49.8782
TEST_0232,64.959946
TEST_0233,77.93576
TEST_0234,11.90292
TEST_0235,48.905567
TEST_0236,129.02922
TEST_0237,19.877882
TEST_0238,147.21616
TEST_0239,20.727692
TEST_0240,17.628748
TEST_0241,188.68767
TEST_0242,89.72549
TEST_0243,10.727846
TEST_0244,42.254627
TEST_0245,70.840454
TEST_0246,46.648075
TEST_0247,115.75068
TEST_0248,42.846737
TEST_0249,17.96642
TEST_0250,52.948082
TEST_0251,91.98028
TEST_0252,35.793488
TEST_0253,107.75211
TEST_0254,113.25761
TEST_0255,33.03211
TEST_0256,8.5373745
TEST_0257,104.62523
TEST_0258,135.9255
TEST_0259,19.040016
TEST_0260,20.150003
TEST_0261,70.63758
TEST_0262,52.17356
TEST_0263,18.502861
TEST_0264,25.86209
TEST_0265,1.982278
TEST_0266,58.866512
TEST_0267,20.917124
TEST_0268,64.04739
TEST_0269,187.2062
TEST_0270,99.162025
TEST_0271,133.08975
TEST_0272,17.74616
TEST_0273,147.28078
TEST_0274,21.867117
TEST_0275,56.39381
TEST_0276,83.29521
TEST_0277,150.4081
TEST_0278,7.0224314
TEST_0279,63.77916
TEST_0280,179.83707
TEST_0281,103.54069
TEST_0282,32.5885
TEST_0283,16.696497
TEST_0284,179.60393
TEST_0285,45.106876
TEST_0286,40.329285
TEST_0287,52.351673
TEST_0288,104.10984
TEST_0289,52.81554
TEST_0290,175.56383
TEST_0291,37.48466
TEST_0292,73.07746
TEST_0293,45.415966
TEST_0294,134.38359
TEST_0295,34.54397
TEST_0296,76.26737
TEST_0297,125.54535
TEST_0298,135.6751
