ID,Calories_Burned
TEST_0000,173.16481
TEST_0001,192.32542
TEST_0002,51.432175
TEST_0003,157.96356
TEST_0004,224.50221
TEST_0005,178.68498
TEST_0006,98.292625
TEST_0007,43.512047
TEST_0008,78.323746
TEST_0009,58.653168
TEST_0010,128.09787
TEST_0011,53.778625
TEST_0012,13.1776
TEST_0013,175.80136
TEST_0014,228.99489
TEST_0015,13.47252
TEST_0016,98.608955
TEST_0017,132.4244
TEST_0018,158.8282
TEST_0019,6.1124454
TEST_0020,47.968864
TEST_0021,93.829254
TEST_0022,26.43388
TEST_0023,88.105255
TEST_0024,19.71036
TEST_0025,129.0478
TEST_0026,108.92304
TEST_0027,190.86055
TEST_0028,122.0318
TEST_0029,98.56257
TEST_0030,24.200384
TEST_0031,248.51985
TEST_0032,53.554684
TEST_0033,47.058147
TEST_0034,129.04012
TEST_0035,114.66894
TEST_0036,37.951424
TEST_0037,132.5818
TEST_0038,11.228113
TEST_0039,132.49985
TEST_0040,191.98055
TEST_0041,171.43884
TEST_0042,145.68106
TEST_0043,57.299816
TEST_0044,65.68169
TEST_0045,50.24582
TEST_0046,75.599205
TEST_0047,198.62541
TEST_0048,136.71706
TEST_0049,128.66972
TEST_0050,10.422559
TEST_0051,111.2375
TEST_0052,160.84903
TEST_0053,98.00951
TEST_0054,65.36821
TEST_0055,86.429665
TEST_0056,164.9274
TEST_0057,16.606125
TEST_0058,32.0345
TEST_0059,95.741486
TEST_0060,38.602882
TEST_0061,107.4985
TEST_0062,88.61374
TEST_0063,49.998936
TEST_0064,33.354107
TEST_0065,135.35623
TEST_0066,237.11316
TEST_0067,125.01093
TEST_0068,100.17795
TEST_0069,43.79797
TEST_0070,125.46861
TEST_0071,27.87181
TEST_0072,8.516745
TEST_0073,150.58331
TEST_0074,34.15645
TEST_0075,90.0785
TEST_0076,65.20218
TEST_0077,65.310394
TEST_0078,44.587418
TEST_0079,180.52516
TEST_0080,174.21062
TEST_0081,140.7069
TEST_0082,92.1654
TEST_0083,102.25991
TEST_0084,62.28063
TEST_0085,179.73146
TEST_0086,128.7459
TEST_0087,17.603144
TEST_0088,143.16762
TEST_0089,42.25817
TEST_0090,40.347443
TEST_0091,38.299316
TEST_0092,26.551748
TEST_0093,194.90216
TEST_0094,4.0589514
TEST_0095,9.479419
TEST_0096,235.0233
TEST_0097,136.18297
TEST_0098,185.82634
TEST_0099,166.77184
TEST_0100,14.410296
TEST_0101,101.30524
TEST_0102,189.50327
TEST_0103,165.27934
TEST_0104,64.15452
TEST_0105,166.87616
TEST_0106,37.138145
TEST_0107,20.390419
TEST_0108,180.39339
TEST_0109,29.401129
TEST_0110,108.5594
TEST_0111,183.48817
TEST_0112,49.649952
TEST_0113,146.23537
TEST_0114,56.654907
TEST_0115,82.24355
TEST_0116,79.71096
TEST_0117,66.71274
TEST_0118,12.937152
TEST_0119,6.397106
TEST_0120,185.87436
TEST_0121,49.22335
TEST_0122,42.14967
TEST_0123,19.336336
TEST_0124,30.737625
TEST_0125,97.20137
TEST_0126,49.761093
TEST_0127,53.685127
TEST_0128,103.443306
TEST_0129,78.04596
TEST_0130,62.449104
TEST_0131,184.72081
TEST_0132,68.3298
TEST_0133,136.81726
TEST_0134,107.86171
