ID,Calories_Burned
TEST_0000,174.01596
TEST_0001,192.23364
TEST_0002,52.541134
TEST_0003,160.22372
TEST_0004,224.7933
TEST_0005,176.19533
TEST_0006,97.11641
TEST_0007,42.054417
TEST_0008,76.99851
TEST_0009,58.152245
TEST_0010,125.17547
TEST_0011,56.17113
TEST_0012,13.072997
TEST_0013,173.66434
TEST_0014,225.73117
TEST_0015,14.16587
TEST_0016,98.19805
TEST_0017,132.16656
TEST_0018,156.73628
TEST_0019,6.782033
TEST_0020,49.34246
TEST_0021,91.655304
TEST_0022,24.528416
TEST_0023,86.48272
TEST_0024,19.967457
TEST_0025,126.30677
TEST_0026,105.98502
TEST_0027,191.03995
TEST_0028,120.799904
TEST_0029,100.71573
TEST_0030,24.32594
TEST_0031,244.11497
TEST_0032,54.745712
TEST_0033,47.60462
TEST_0034,130.97508
TEST_0035,114.22631
TEST_0036,37.15818
TEST_0037,130.98895
TEST_0038,10.848681
TEST_0039,130.6071
TEST_0040,197.55444
TEST_0041,167.813
TEST_0042,142.92415
TEST_0043,58.54246
TEST_0044,67.77335
TEST_0045,51.190277
TEST_0046,74.8339
TEST_0047,198.89194
TEST_0048,136.14503
TEST_0049,129.32246
TEST_0050,10.948575
TEST_0051,109.906044
TEST_0052,160.61256
TEST_0053,96.85156
TEST_0054,67.715935
TEST_0055,87.52105
TEST_0056,163.53621
TEST_0057,18.256855
TEST_0058,31.79394
TEST_0059,95.62546
TEST_0060,38.92329
TEST_0061,106.035065
TEST_0062,90.44652
TEST_0063,50.025505
TEST_0064,31.64189
TEST_0065,133.84528
TEST_0066,232.78543
TEST_0067,126.20611
TEST_0068,99.497795
TEST_0069,44.52717
TEST_0070,127.864456
TEST_0071,27.988434
TEST_0072,9.36725
TEST_0073,151.41364
TEST_0074,33.67749
TEST_0075,92.72298
TEST_0076,64.64797
TEST_0077,66.43824
TEST_0078,43.84448
TEST_0079,185.22664
TEST_0080,175.13638
TEST_0081,137.07405
TEST_0082,92.29965
TEST_0083,101.70747
TEST_0084,57.92327
TEST_0085,178.11589
TEST_0086,126.182976
TEST_0087,17.480162
TEST_0088,142.8025
TEST_0089,43.05757
TEST_0090,39.301746
TEST_0091,37.29203
TEST_0092,25.558458
TEST_0093,194.09972
TEST_0094,4.6909957
TEST_0095,10.791248
TEST_0096,238.0887
TEST_0097,139.74783
TEST_0098,185.82991
TEST_0099,171.97488
TEST_0100,13.954435
TEST_0101,99.37949
TEST_0102,185.47652
TEST_0103,162.23732
TEST_0104,64.594025
TEST_0105,165.67247
TEST_0106,36.97275
TEST_0107,20.19374
TEST_0108,181.26262
TEST_0109,30.021845
TEST_0110,111.67912
TEST_0111,183.84055
TEST_0112,50.409794
TEST_0113,146.9064
TEST_0114,57.77152
TEST_0115,81.65247
TEST_0116,80.98648
TEST_0117,64.81507
TEST_0118,14.923445
TEST_0119,6.3311057
TEST_0120,184.48674
TEST_0121,48.23182
TEST_0122,41.802532
TEST_0123,19.480204
TEST_0124,31.588501
TEST_0125,98.91598
TEST_0126,48.08124
TEST_0127,53.20117
TEST_0128,102.72104
TEST_0129,76.72456
TEST_0130,61.091393
TEST_0131,189.2691
TEST_0132,70.02838
TEST_0133,139.34428
TEST_0134,103.96189
TEST_0135,73.04856
TEST_0136,72.010254
TEST_0137,64.44435
TEST_0138,179.47948
TEST_0139,22.033875
TEST_0140,113.67651
TEST_0141,17.526508
TEST_0142,109.92165
TEST_0143,41.882683
TEST_0144,11.400679
TEST_0145,31.680294
TEST_0146,164.7514
TEST_0147,81.79466
TEST_0148,124.620316
TEST_0149,86.7557
TEST_0150,41.461258
TEST_0151,82.51819
TEST_0152,69.0548
TEST_0153,19.54301
TEST_0154,95.57065
TEST_0155,57.741497
TEST_0156,133.60541
TEST_0157,36.502495
TEST_0158,199.0285
TEST_0159,38.825863
TEST_0160,128.39438
TEST_0161,99.986786
TEST_0162,114.758736
TEST_0163,142.76584
TEST_0164,55.190098
TEST_0165,33.200615
TEST_0166,40.880306
TEST_0167,132.5522
TEST_0168,201.66145
TEST_0169,112.98981
TEST_0170,72.63826
TEST_0171,76.80439
TEST_0172,4.894496
TEST_0173,82.39149
TEST_0174,15.802877
TEST_0175,47.92012
TEST_0176,8.316893
TEST_0177,60.719685
TEST_0178,176.28963
TEST_0179,183.92174
TEST_0180,45.459515
TEST_0181,83.05567
TEST_0182,67.00234
TEST_0183,119.51341
TEST_0184,126.56366
TEST_0185,80.96405
TEST_0186,11.790811
TEST_0187,45.30862
TEST_0188,157.16992
TEST_0189,6.286022
TEST_0190,41.16947
TEST_0191,6.2875304
TEST_0192,161.91043
TEST_0193,42.57888
TEST_0194,174.78308
TEST_0195,99.31508
TEST_0196,6.3489184
TEST_0197,212.83395
TEST_0198,3.8082666
TEST_0199,8.37333
TEST_0200,8.847552
TEST_0201,133.21384
TEST_0202,22.131645
TEST_0203,42.026066
TEST_0204,97.437775
TEST_0205,92.18579
TEST_0206,153.26276
TEST_0207,80.680534
TEST_0208,14.33939
TEST_0209,67.230415
TEST_0210,62.653584
TEST_0211,196.83232
TEST_0212,162.93268
TEST_0213,17.345997
TEST_0214,49.009212
TEST_0215,59.459366
TEST_0216,85.84617
TEST_0217,143.5631
TEST_0218,38.226784
TEST_0219,98.340675
TEST_0220,172.2379
TEST_0221,67.324524
TEST_0222,141.26678
TEST_0223,190.63506
TEST_0224,77.66195
TEST_0225,30.541557
TEST_0226,65.8843
TEST_0227,136.06093
TEST_0228,57.85435
TEST_0229,5.692593
TEST_0230,55.7156
TEST_0231,51.4195
TEST_0232,65.4407
TEST_0233,73.740845
TEST_0234,11.977443
TEST_0235,48.27876
TEST_0236,129.96371
TEST_0237,19.56955
TEST_0238,149.58752
TEST_0239,20.17678
TEST_0240,17.14085
TEST_0241,192.77765
TEST_0242,89.41306
TEST_0243,10.202757
TEST_0244,42.482056
TEST_0245,71.79341
TEST_0246,46.438488
TEST_0247,119.013596
TEST_0248,44.283367
TEST_0249,18.363417
TEST_0250,54.57588
TEST_0251,93.05746
TEST_0252,37.587097
TEST_0253,106.72647
TEST_0254,113.24573
TEST_0255,31.914188
TEST_0256,7.932404
TEST_0257,101.3649
TEST_0258,138.51443
TEST_0259,19.040451
TEST_0260,19.96927
TEST_0261,69.967415
TEST_0262,52.176968
TEST_0263,18.562258
TEST_0264,25.008734
TEST_0265,1.6762189
TEST_0266,58.296898
TEST_0267,21.089556
TEST_0268,64.49534
TEST_0269,186.49194
TEST_0270,97.96599
TEST_0271,133.70494
TEST_0272,18.608395
TEST_0273,151.51242
TEST_0274,21.299261
TEST_0275,56.745075
TEST_0276,82.046906
TEST_0277,151.9331
TEST_0278,6.228519
TEST_0279,61.187153
TEST_0280,180.42726
TEST_0281,106.68539
TEST_0282,33.230717
TEST_0283,15.974117
TEST_0284,181.79918
TEST_0285,44.85197
TEST_0286,39.978287
TEST_0287,51.36482
TEST_0288,102.30306
TEST_0289,53.66289
TEST_0290,173.20505
TEST_0291,38.058174
TEST_0292,72.91768
TEST_0293,45.801476
TEST_0294,136.03009
TEST_0295,34.675648
TEST_0296,75.66842
TEST_0297,127.63245
TEST_0298,135.77245
TEST_0299,188.24866
TEST_0300,223.10918
TEST_0301,4.0138283
TEST_0302,226.57404
TEST_0303,108.5248
TEST_0304,66.31646
TEST_0305,142.6449
TEST_0306,55.22158
TEST_0307,213.14711
TEST_0308,183.60112
TEST_0309,140.44118
TEST_0310,85.20758
TEST_0311,36.59026
TEST_0312,164.4623
TEST_0313,80.6164
TEST_0314,186.12744
TEST_0315,188.07037
TEST_0316,242.44911
TEST_0317,163.30707
TEST_0318,58.096333
TEST_0319,242.42422
TEST_0320,214.0237
TEST_0321,85.37576
TEST_0322,170.24983
TEST_0323,77.67671
TEST_0324,48.04703
TEST_0325,11.814999
TEST_0326,87.72923
TEST_0327,106.13445
TEST_0328,83.71318
TEST_0329,70.450294
TEST_0330,8.693816
TEST_0331,130.25226
TEST_0332,9.941069
TEST_0333,90.19655
TEST_0334,40.823036
TEST_0335,99.98897
TEST_0336,111.68323
TEST_0337,159.34787
TEST_0338,93.90965
TEST_0339,124.5024
TEST_0340,25.85973
TEST_0341,216.4916
TEST_0342,83.87067
TEST_0343,139.86188
