ID,Calories_Burned
TEST_0000,175.3627
TEST_0001,190.95793
TEST_0002,50.08473
TEST_0003,161.24698
TEST_0004,225.89665
TEST_0005,175.6463
TEST_0006,98.27405
TEST_0007,43.523006
TEST_0008,79.1368
TEST_0009,58.669743
TEST_0010,127.3269
TEST_0011,55.200928
TEST_0012,13.219511
TEST_0013,171.31104
TEST_0014,226.44478
TEST_0015,14.269638
TEST_0016,100.83591
TEST_0017,131.7985
TEST_0018,159.0885
TEST_0019,6.530496
TEST_0020,48.7201
TEST_0021,90.92271
TEST_0022,24.292969
TEST_0023,86.30306
TEST_0024,19.973612
TEST_0025,126.68177
TEST_0026,107.23808
TEST_0027,191.61092
TEST_0028,124.58947
TEST_0029,100.93785
TEST_0030,23.137232
TEST_0031,249.02644
TEST_0032,51.99572
TEST_0033,48.790016
TEST_0034,130.03485
TEST_0035,113.05928
TEST_0036,37.66461
TEST_0037,134.16284
TEST_0038,10.959457
TEST_0039,130.83408
TEST_0040,197.03728
TEST_0041,170.98225
TEST_0042,143.76251
TEST_0043,59.197716
TEST_0044,65.28253
TEST_0045,49.913353
TEST_0046,74.24442
TEST_0047,202.2328
TEST_0048,135.70041
TEST_0049,124.26518
TEST_0050,11.105174
TEST_0051,111.386856
TEST_0052,163.74716
TEST_0053,96.352745
TEST_0054,66.591576
TEST_0055,84.550095
TEST_0056,161.84953
TEST_0057,18.367628
TEST_0058,30.32999
TEST_0059,95.86404
TEST_0060,39.8297
TEST_0061,109.443726
TEST_0062,90.53182
TEST_0063,51.827557
TEST_0064,33.760723
TEST_0065,135.42458
TEST_0066,228.38551
TEST_0067,124.64125
TEST_0068,99.920746
TEST_0069,43.96114
TEST_0070,125.27588
TEST_0071,26.98842
TEST_0072,9.292394
TEST_0073,152.56656
TEST_0074,33.570316
TEST_0075,91.88443
TEST_0076,64.134674
TEST_0077,65.9879
TEST_0078,45.210415
TEST_0079,184.4002
TEST_0080,172.71371
TEST_0081,141.22398
TEST_0082,91.743706
TEST_0083,102.36637
TEST_0084,58.762566
TEST_0085,176.106
TEST_0086,123.6972
TEST_0087,18.12619
TEST_0088,143.7542
TEST_0089,41.520462
TEST_0090,40.31115
TEST_0091,36.3983
TEST_0092,26.015999
TEST_0093,200.5659
TEST_0094,3.9705439
TEST_0095,10.804229
TEST_0096,234.52121
TEST_0097,140.27577
TEST_0098,187.00186
TEST_0099,170.64755
TEST_0100,14.223118
TEST_0101,97.70358
TEST_0102,190.0868
TEST_0103,168.42072
TEST_0104,64.65241
TEST_0105,164.56859
TEST_0106,38.66228
TEST_0107,21.170773
TEST_0108,183.14296
TEST_0109,31.024193
TEST_0110,112.524254
TEST_0111,184.01761
TEST_0112,49.314095
TEST_0113,147.37334
TEST_0114,57.807564
TEST_0115,82.4048
TEST_0116,81.30662
TEST_0117,66.01252
TEST_0118,14.5776005
TEST_0119,5.983303
TEST_0120,188.11302
TEST_0121,49.17729
TEST_0122,41.960175
TEST_0123,19.927559
TEST_0124,31.624647
TEST_0125,100.405525
TEST_0126,46.831276
TEST_0127,53.237026
TEST_0128,102.406395
TEST_0129,78.144165
TEST_0130,60.71138
TEST_0131,187.66473
TEST_0132,68.13464
TEST_0133,134.62885
TEST_0134,107.248085
TEST_0135,73.04953
TEST_0136,73.996376
TEST_0137,64.70128
TEST_0138,174.73183
TEST_0139,22.829193
TEST_0140,117.21125
TEST_0141,16.799545
TEST_0142,109.7156
TEST_0143,41.030663
TEST_0144,10.458716
TEST_0145,33.831352
TEST_0146,160.75938
TEST_0147,79.74063
TEST_0148,119.4649
TEST_0149,89.747345
TEST_0150,42.180023
TEST_0151,80.7424
TEST_0152,68.92134
TEST_0153,20.472435
