ID,착과량(int)
TEST_0000,402.37787
TEST_0001,272.63907
TEST_0002,468.1396
TEST_0003,400.49402
TEST_0004,356.05234
TEST_0005,358.0611
TEST_0006,445.95972
TEST_0007,290.1554
TEST_0008,356.92023
TEST_0009,383.50763
TEST_0010,254.46895
TEST_0011,240.58513
TEST_0012,354.41888
TEST_0013,370.72836
TEST_0014,474.6754
TEST_0015,378.50153
TEST_0016,291.67206
TEST_0017,394.241
TEST_0018,189.0314
TEST_0019,331.5026
TEST_0020,387.54633
TEST_0021,353.52673
TEST_0022,348.01666
TEST_0023,366.449
TEST_0024,363.29358
TEST_0025,378.80026
TEST_0026,524.0937
TEST_0027,173.14215
TEST_0028,327.3246
TEST_0029,373.93433
TEST_0030,300.95795
TEST_0031,217.51073
TEST_0032,287.9967
TEST_0033,209.93546
TEST_0034,229.14397
TEST_0035,259.88724
TEST_0036,405.36575
TEST_0037,337.6582
TEST_0038,525.0877
TEST_0039,446.5003
TEST_0040,393.27014
TEST_0041,329.3294
TEST_0042,300.83017
TEST_0043,302.3694
TEST_0044,287.29932
TEST_0045,387.12344
TEST_0046,234.5208
TEST_0047,390.2154
TEST_0048,325.9403
TEST_0049,315.95508
TEST_0050,294.19073
TEST_0051,221.65851
TEST_0052,355.026
TEST_0053,338.3479
TEST_0054,364.3059
TEST_0055,409.04077
TEST_0056,204.69795
TEST_0057,307.7346
TEST_0058,317.47742
TEST_0059,267.00388
TEST_0060,357.93713
TEST_0061,334.3944
TEST_0062,448.65424
TEST_0063,321.71454
TEST_0064,192.12054
TEST_0065,317.3874
TEST_0066,523.85095
TEST_0067,246.9157
TEST_0068,336.94373
TEST_0069,315.8249
TEST_0070,412.60736
TEST_0071,402.27905
TEST_0072,272.01508
TEST_0073,421.98212
TEST_0074,310.45178
TEST_0075,368.20264
TEST_0076,380.10284
TEST_0077,428.00256
TEST_0078,320.83987
TEST_0079,352.86676
TEST_0080,369.6625
TEST_0081,363.11646
TEST_0082,418.07248
TEST_0083,439.57758
TEST_0084,348.4039
TEST_0085,299.47678
TEST_0086,453.8664
TEST_0087,262.36517
TEST_0088,284.47232
TEST_0089,362.68665
TEST_0090,505.19714
TEST_0091,399.2926
TEST_0092,363.219
TEST_0093,287.38876
TEST_0094,337.53528
TEST_0095,410.25043
TEST_0096,369.73633
TEST_0097,285.4181
TEST_0098,380.45825
TEST_0099,263.4928
TEST_0100,384.1195
TEST_0101,432.45728
TEST_0102,327.3982
TEST_0103,322.88446
TEST_0104,410.95612
TEST_0105,396.70337
TEST_0106,403.29083
TEST_0107,452.2859
TEST_0108,381.5318
TEST_0109,414.87848
TEST_0110,212.12943
TEST_0111,300.12238
TEST_0112,324.8651
TEST_0113,343.1536
TEST_0114,368.89844
TEST_0115,342.66913
TEST_0116,400.24332
TEST_0117,334.7702
TEST_0118,489.4146
TEST_0119,338.1662
TEST_0120,298.8265
TEST_0121,417.09497
TEST_0122,321.10962
TEST_0123,438.99536
TEST_0124,311.60413
TEST_0125,421.42883
TEST_0126,400.84332
TEST_0127,307.52075
TEST_0128,338.85394
TEST_0129,420.66605
TEST_0130,579.98145
TEST_0131,356.4397
TEST_0132,320.1084
TEST_0133,538.4788
TEST_0134,370.0795
TEST_0135,305.1445
TEST_0136,299.153
TEST_0137,340.88272
TEST_0138,362.40332
TEST_0139,304.07904
TEST_0140,350.03046
TEST_0141,312.155
TEST_0142,388.13202
TEST_0143,361.19348
TEST_0144,375.46075
TEST_0145,249.14008
TEST_0146,427.81415
TEST_0147,279.32178
TEST_0148,361.38422
TEST_0149,332.20917
TEST_0150,273.14777
TEST_0151,242.21115
TEST_0152,219.72763
TEST_0153,338.15057
TEST_0154,253.5694
TEST_0155,372.0166
TEST_0156,167.69025
TEST_0157,393.107
TEST_0158,353.77606
TEST_0159,286.98492
TEST_0160,455.97742
TEST_0161,391.46222
TEST_0162,271.28058
TEST_0163,424.3421
TEST_0164,333.64664
TEST_0165,235.71628
TEST_0166,347.68085
TEST_0167,322.1349
TEST_0168,374.14227
TEST_0169,298.58258
TEST_0170,407.58673
TEST_0171,249.14838
TEST_0172,365.9366
TEST_0173,421.29755
TEST_0174,286.09866
TEST_0175,360.84265
TEST_0176,345.73965
TEST_0177,396.63104
TEST_0178,367.8781
TEST_0179,383.88623
TEST_0180,398.53058
TEST_0181,393.2179
TEST_0182,302.48575
TEST_0183,283.2328
TEST_0184,331.08972
TEST_0185,415.17487
TEST_0186,388.85718
TEST_0187,230.02704
TEST_0188,348.20667
TEST_0189,423.4088
TEST_0190,346.59473
TEST_0191,423.51807
TEST_0192,295.3642
TEST_0193,321.5633
TEST_0194,281.537
TEST_0195,279.6034
TEST_0196,414.22458
TEST_0197,381.55853
TEST_0198,425.86856
TEST_0199,496.24146
TEST_0200,261.99622
TEST_0201,269.67035
TEST_0202,364.36975
TEST_0203,439.96558
TEST_0204,329.79114
TEST_0205,436.70544
TEST_0206,482.84094
TEST_0207,395.0434
TEST_0208,349.71167
TEST_0209,307.4277
TEST_0210,461.682
TEST_0211,434.91333
TEST_0212,285.12372
TEST_0213,382.57468
