index,quality
0,5
1,4
2,4
3,5
4,5
5,4
6,5
7,5
8,5
9,5
10,4
11,4
12,5
13,5
14,5
15,4
16,4
17,6
18,4
19,4
20,5
21,5
22,4
23,6
24,5
25,4
26,4
27,4
28,4
29,4
30,6
31,5
32,4
33,4
34,4
35,5
36,4
37,4
38,5
39,4
40,5
41,5
42,5
43,5
44,5
45,5
46,4
47,5
48,4
49,5
50,4
51,4
52,5
53,4
54,4
55,4
56,5
57,4
58,4
59,5
60,4
61,4
62,5
63,5
64,5
65,5
66,4
67,4
68,5
69,4
70,4
71,4
72,4
73,4
74,5
75,4
76,5
77,5
78,5
79,5
80,5
81,5
82,4
83,4
84,5
85,5
86,4
87,4
88,5
89,5
90,5
91,5
92,5
93,5
94,5
95,5
96,5
97,5
98,5
99,5
100,4
101,4
102,5
103,4
104,4
105,5
106,5
107,5
108,5
109,5
110,5
111,5
112,5
113,5
114,5
115,5
116,5
117,5
118,5
119,5
120,5
121,5
122,5
123,5
124,5
125,4
126,5
127,5
128,5
129,5
130,4
131,4
132,5
133,4
134,4
135,5
136,5
137,6
138,4
139,4
140,4
141,4
142,5
143,4
144,4
145,4
146,5
147,4
148,5
149,5
150,5
151,6
152,5
153,4
154,5
155,4
156,5
157,5
158,5
159,4
160,4
161,5
162,5
163,5
164,5
165,4
166,4
167,5
168,4
169,4
170,4
171,4
172,5
173,4
174,5
175,4
176,5
177,4
178,4
179,5
180,5
181,4
182,5
183,6
184,4
185,5
186,5
187,5
188,4
189,5
190,5
191,5
192,4
193,5
194,4
195,5
196,5
197,4
198,4
199,4
200,5
201,4
202,4
203,4
204,4
205,4
206,6
207,5
208,5
209,4
210,6
211,4
212,4
213,5
214,5
215,5
216,4
217,4
218,5
219,5
220,5
221,5
222,6
223,5
224,6
225,5
226,5
227,4
228,5
229,4
230,5
231,6
232,5
233,5
234,5
235,5
236,5
237,5
238,5
239,5
240,5
241,5
242,5
243,5
244,5
245,5
246,5
247,5
248,4
249,6
250,5
251,4
252,6
253,6
254,5
255,5
256,5
257,6
258,5
259,5
260,5
261,4
262,4
263,5
264,5
265,5
266,5
267,5
268,5
269,5
270,5
271,4
272,4
273,4
274,5
275,4
276,5
277,5
278,4
279,4
280,5
281,5
282,5
283,5
284,5
285,5
286,5
287,5
288,4
289,5
290,4
291,4
292,4
293,5
294,4
295,5
296,5
297,5
298,4
299,6
300,5
301,5
302,4
303,4
304,5
305,4
306,4
307,5
308,4
309,4
310,4
311,4
312,5
313,4
314,5
315,5
316,4
317,4
318,4
319,5
320,5
321,4
322,5
323,4
324,4
325,4
326,4
327,5
328,6
329,4
330,4
331,5
332,6
333,4
334,4
335,5
336,4
337,5
338,5
339,4
340,5
341,5
342,5
343,5
344,4
345,5
346,5
347,6
348,4
349,5
350,4
351,4
352,4
353,5
354,5
355,4
356,5
357,5
358,5
359,5
360,4
361,4
362,4
363,6
364,6
365,5
366,4
367,4
368,6
369,5
370,5
371,4
372,4
373,5
374,5
375,4
376,4
377,5
378,5
379,5
380,5
381,5
382,5
383,5
384,4
385,5
386,5
387,4
388,5
389,4
390,5
391,4
392,6
393,4
394,4
395,5
396,4
397,5
398,6
399,4
400,6
401,4
402,5
403,5
404,5
405,4
406,3
407,5
408,5
409,4
410,5
411,4
412,4
413,4
414,4
415,6
416,5
417,5
418,4
419,4
420,5
421,5
422,4
423,5
424,4
425,5
426,5
427,5
428,4
429,5
430,5
431,5
432,4
433,5
434,6
435,4
436,5
437,4
438,4
439,4
440,4
441,5
442,5
443,5
444,5
445,5
446,4
447,4
448,4
449,5
450,5
451,5
452,4
453,5
454,5
455,4
456,6
457,4
458,5
459,4
460,5
461,5
462,5
463,4
464,4
465,4
466,5
467,4
468,5
469,4
470,4
471,4
472,4
473,4
474,4
475,5
476,5
477,5
478,6
479,5
480,5
481,6
482,5
483,4
484,5
485,5
486,5
487,5
488,4
489,5
490,5
491,5
492,4
493,5
494,4
495,5
496,5
497,4
498,5
499,5
500,5
501,5
502,5
503,6
504,4
505,5
506,5
507,5
508,4
509,5
510,4
511,4
512,5
513,4
514,4
515,4
516,4
517,6
518,5
519,4
520,4
521,5
522,4
523,5
524,5
525,4
526,5
527,5
528,5
529,5
530,4
531,5
532,5
533,6
534,6
535,6
536,5
537,5
538,3
539,4
540,4
541,5
542,5
543,5
544,5
545,5
546,5
547,4
548,4
549,5
550,4
551,5
552,5
553,5
554,4
555,5
556,4
557,4
558,4
559,5
560,4
561,5
562,4
563,5
564,5
565,5
566,5
567,6
568,5
569,4
570,5
571,4
572,4
573,5
574,5
575,4
576,5
577,4
578,4
579,4
580,5
581,5
582,5
583,4
584,5
585,5
586,6
587,6
588,5
589,5
590,5
591,4
592,6
593,5
594,4
595,4
596,5
597,5
598,4
599,5
600,5
601,6
602,5
603,5
604,4
605,5
606,4
607,4
608,6
