ID,Book-Rating
TEST_000000,4
TEST_000001,6
TEST_000002,4
TEST_000003,5
TEST_000004,4
TEST_000005,4
TEST_000006,3
TEST_000007,3
TEST_000008,2
TEST_000009,2
TEST_000010,4
TEST_000011,3
TEST_000012,2
TEST_000013,4
TEST_000014,2
TEST_000015,3
TEST_000016,3
TEST_000017,2
TEST_000018,1
TEST_000019,1
TEST_000020,5
TEST_000021,1
TEST_000022,6
TEST_000023,8
TEST_000024,6
TEST_000025,7
TEST_000026,5
TEST_000027,0
TEST_000028,2
TEST_000029,2
TEST_000030,0
TEST_000031,8
TEST_000032,10
TEST_000033,8
TEST_000034,1
TEST_000035,3
TEST_000036,4
TEST_000037,3
TEST_000038,2
TEST_000039,2
TEST_000040,2
TEST_000041,-0
TEST_000042,1
TEST_000043,1
TEST_000044,2
TEST_000045,6
TEST_000046,2
TEST_000047,7
TEST_000048,7
TEST_000049,2
TEST_000050,6
TEST_000051,3
TEST_000052,3
TEST_000053,8
TEST_000054,5
TEST_000055,5
TEST_000056,5
TEST_000057,3
TEST_000058,2
TEST_000059,2
TEST_000060,-0
TEST_000061,0
TEST_000062,2
TEST_000063,3
TEST_000064,3
TEST_000065,8
TEST_000066,0
TEST_000067,3
TEST_000068,7
TEST_000069,4
TEST_000070,3
TEST_000071,7
TEST_000072,3
TEST_000073,4
TEST_000074,4
TEST_000075,4
TEST_000076,3
TEST_000077,4
TEST_000078,2
TEST_000079,2
TEST_000080,3
TEST_000081,2
TEST_000082,2
TEST_000083,2
TEST_000084,3
TEST_000085,3
TEST_000086,2
TEST_000087,3
TEST_000088,3
TEST_000089,3
TEST_000090,3
TEST_000091,3
TEST_000092,3
TEST_000093,4
TEST_000094,3
TEST_000095,-0
TEST_000096,1
TEST_000097,2
TEST_000098,5
TEST_000099,3
TEST_000100,0
TEST_000101,5
TEST_000102,5
TEST_000103,4
TEST_000104,6
TEST_000105,6
TEST_000106,4
TEST_000107,4
TEST_000108,5
TEST_000109,7
TEST_000110,5
TEST_000111,5
TEST_000112,5
TEST_000113,6
TEST_000114,4
TEST_000115,5
TEST_000116,4
TEST_000117,5
TEST_000118,5
TEST_000119,4
TEST_000120,8
TEST_000121,3
TEST_000122,5
TEST_000123,5
TEST_000124,0
TEST_000125,5
TEST_000126,5
TEST_000127,5
TEST_000128,5
TEST_000129,6
TEST_000130,6
TEST_000131,5
TEST_000132,5
TEST_000133,5
TEST_000134,5
TEST_000135,5
TEST_000136,6
TEST_000137,5
TEST_000138,4
TEST_000139,8
TEST_000140,0
TEST_000141,5
TEST_000142,0
TEST_000143,5
TEST_000144,3
TEST_000145,7
TEST_000146,1
TEST_000147,-0
TEST_000148,6
TEST_000149,1
TEST_000150,6
TEST_000151,5
TEST_000152,5
TEST_000153,5
TEST_000154,6
TEST_000155,5
TEST_000156,8
TEST_000157,-0
TEST_000158,6
TEST_000159,6
TEST_000160,5
TEST_000161,6
TEST_000162,7
TEST_000163,5
TEST_000164,-0
TEST_000165,5
TEST_000166,4
TEST_000167,6
TEST_000168,7
TEST_000169,7
TEST_000170,7
TEST_000171,5
TEST_000172,5
TEST_000173,4
TEST_000174,5
TEST_000175,5
TEST_000176,6
TEST_000177,6
TEST_000178,5
TEST_000179,-0
TEST_000180,5
TEST_000181,5
TEST_000182,6
TEST_000183,7
TEST_000184,5
TEST_000185,0
TEST_000186,4
TEST_000187,5
TEST_000188,5
TEST_000189,5
TEST_000190,6
TEST_000191,10
TEST_000192,5
TEST_000193,7
TEST_000194,1
TEST_000195,1
TEST_000196,3
TEST_000197,0
TEST_000198,2
TEST_000199,1
TEST_000200,3
TEST_000201,2
TEST_000202,2
TEST_000203,1
TEST_000204,2
TEST_000205,1
TEST_000206,1
TEST_000207,1
TEST_000208,0
TEST_000209,2
TEST_000210,1
TEST_000211,0
TEST_000212,9
TEST_000213,1
TEST_000214,2
TEST_000215,0
TEST_000216,0
TEST_000217,0
TEST_000218,1
TEST_000219,-0
TEST_000220,0
TEST_000221,-0
TEST_000222,6
TEST_000223,4
TEST_000224,4
TEST_000225,6
TEST_000226,5
TEST_000227,5
TEST_000228,5
TEST_000229,6
TEST_000230,4
TEST_000231,0
TEST_000232,0
TEST_000233,2
TEST_000234,0
TEST_000235,3
TEST_000236,-0
TEST_000237,8
TEST_000238,8
TEST_000239,1
TEST_000240,0
TEST_000241,0
TEST_000242,9
TEST_000243,9
TEST_000244,10
TEST_000245,6
TEST_000246,10
TEST_000247,0
TEST_000248,3
TEST_000249,2
TEST_000250,2
TEST_000251,3
TEST_000252,-0
TEST_000253,2
TEST_000254,1
TEST_000255,1
TEST_000256,3
TEST_000257,3
TEST_000258,10
TEST_000259,2
TEST_000260,9
TEST_000261,-0
TEST_000262,2
TEST_000263,6
TEST_000264,5
TEST_000265,5
TEST_000266,6
TEST_000267,4
TEST_000268,3
TEST_000269,3
TEST_000270,3
TEST_000271,7
TEST_000272,7
TEST_000273,0
TEST_000274,4
TEST_000275,4
TEST_000276,3
TEST_000277,2
TEST_000278,6
TEST_000279,3
TEST_000280,0
TEST_000281,3
TEST_000282,2
TEST_000283,0
TEST_000284,2
TEST_000285,4
TEST_000286,6
TEST_000287,2
TEST_000288,4
TEST_000289,5
TEST_000290,3
TEST_000291,2
TEST_000292,3
TEST_000293,5
TEST_000294,4
TEST_000295,4
TEST_000296,0
TEST_000297,3
TEST_000298,3
TEST_000299,4
TEST_000300,3
TEST_000301,4
TEST_000302,4
TEST_000303,3
TEST_000304,3
TEST_000305,4
TEST_000306,4
TEST_000307,3
TEST_000308,3
TEST_000309,4
TEST_000310,4
TEST_000311,2
TEST_000312,2
TEST_000313,3
TEST_000314,6
TEST_000315,7
TEST_000316,0
TEST_000317,3
TEST_000318,8
TEST_000319,3
TEST_000320,3
TEST_000321,3
TEST_000322,3
TEST_000323,3
TEST_000324,3
TEST_000325,0
TEST_000326,3
TEST_000327,2
TEST_000328,2
TEST_000329,2
TEST_000330,1
TEST_000331,3
TEST_000332,1
TEST_000333,1
TEST_000334,2
TEST_000335,1
TEST_000336,8
TEST_000337,2
TEST_000338,1
TEST_000339,4
TEST_000340,0
TEST_000341,2
TEST_000342,1
TEST_000343,2
TEST_000344,3
TEST_000345,2
TEST_000346,2
TEST_000347,-0
TEST_000348,3
TEST_000349,2
TEST_000350,2
TEST_000351,1
TEST_000352,1
TEST_000353,3
TEST_000354,3
TEST_000355,2
TEST_000356,1
TEST_000357,2
TEST_000358,2
TEST_000359,1
TEST_000360,1
TEST_000361,3
TEST_000362,1
TEST_000363,1
TEST_000364,2
TEST_000365,5
TEST_000366,1
TEST_000367,2
TEST_000368,2
