iter	MultiClass
0	1.086806079
1	1.075743576
2	1.066204358
3	1.057890863
4	1.050913303
5	1.044690283
6	1.039272914
7	1.034225591
8	1.030182724
9	1.026327269
10	1.022692846
11	1.019651564
12	1.016103534
13	1.014002675
14	1.011662997
15	1.009772443
16	1.0077881
17	1.006051533
18	1.003629655
19	1.002007589
20	1.000516206
21	0.998761473
22	0.9973830003
23	0.9962565456
24	0.995051219
25	0.9936185399
26	0.9926254104
27	0.9918201513
28	0.9909695816
29	0.9900004556
30	0.9894038294
31	0.9886138769
32	0.9877753636
33	0.9870944708
34	0.9864652651
35	0.9857820545
36	0.9849107644
37	0.9838816977
38	0.9831462405
39	0.9826662514
40	0.9821619973
41	0.9814991124
42	0.9803800567
43	0.9792772547
44	0.9785498871
45	0.9780689339
46	0.9775151334
47	0.9767111234
48	0.9759707251
49	0.9755084687
50	0.9750325547
51	0.9739810414
52	0.9733602208
53	0.9727846698
54	0.9722345949
55	0.9716185596
56	0.9709908725
57	0.9705227026
58	0.9698587001
59	0.9694252959
60	0.9691217121
61	0.9687134543
62	0.9679692272
63	0.9673196294
64	0.9666731526
65	0.9663887672
66	0.9658051393
67	0.9648459573
68	0.9646132114
69	0.9640891955
70	0.9635736369
71	0.9631612174
72	0.9628514561
73	0.9625672683
74	0.9621223162
75	0.9616320785
76	0.961462693
77	0.9612096524
78	0.9602815562
79	0.9595767659
80	0.9592114175
81	0.9589108258
82	0.9586119528
83	0.9582316299
84	0.9579410156
85	0.957787162
86	0.9572568423
87	0.9567130369
88	0.9565263484
89	0.9558154377
90	0.9555951315
91	0.955166832
92	0.9547976716
93	0.9543658156
94	0.9541707691
95	0.9538268011
96	0.9533047089
97	0.952876668
98	0.952460146
99	0.9521030869
100	0.9518160202
101	0.9513981857
102	0.9509737571
103	0.9507752409
104	0.9504891404
105	0.9503460495
106	0.9501709265
107	0.949879906
108	0.9491692009
109	0.9488543495
110	0.9484771152
111	0.9480274254
112	0.9477617085
113	0.9475108036
114	0.9469541405
115	0.9466626095
116	0.9462118249
117	0.9459248998
118	0.9456954903
119	0.9455680661
120	0.9451861788
121	0.9449873882
122	0.9448619292
123	0.9445965716
124	0.9440453274
125	0.9437586158
126	0.9433576782
127	0.9430884639
128	0.9428316975
129	0.9426884527
130	0.9424687607
131	0.9422281938
132	0.9419369834
133	0.9417113689
134	0.9414449737
135	0.941134184
136	0.9408268196
137	0.9405409969
138	0.9402980917
139	0.9397939323
140	0.9394508859
141	0.9393499955
142	0.9390391305
143	0.9386376708
144	0.9383941683
145	0.938035715
146	0.9377672852
147	0.93756803
148	0.9371380394
149	0.9368231779
150	0.9364345895
151	0.9362512371
152	0.9360062225
153	0.9357255631
154	0.9354616496
155	0.9352547896
156	0.9351330855
157	0.9349201229
158	0.9347810693
159	0.9344294661
160	0.9340801558
161	0.933855992
162	0.9336681213
163	0.9330688341
164	0.9328944476
165	0.9324815948
166	0.9323577252
167	0.931880965
168	0.9316217552
169	0.9312518282
170	0.9309228127
171	0.9304853152
172	0.9302745185
173	0.9300905218
174	0.9299033719
175	0.9295906815
