iter	Passed	Remaining
0	2	2111
1	4	2137
2	6	2104
3	8	2212
4	12	2564
5	14	2464
6	16	2366
7	18	2317
8	20	2269
9	22	2224
10	24	2203
11	28	2305
12	30	2285
13	32	2255
14	34	2246
15	36	2219
16	38	2199
17	39	2179
18	42	2189
19	44	2190
20	46	2170
21	48	2159
22	50	2143
23	52	2145
24	54	2131
25	57	2135
26	59	2159
27	61	2148
28	63	2134
29	65	2121
30	67	2116
31	69	2111
32	74	2180
33	77	2191
34	79	2198
35	82	2208
36	85	2223
37	87	2204
38	88	2188
39	91	2191
40	93	2182
41	95	2168
42	96	2156
43	99	2151
44	100	2138
45	102	2125
46	104	2111
47	106	2110
48	108	2101
49	109	2088
50	111	2077
51	113	2074
52	115	2064
53	117	2058
54	119	2053
55	122	2060
56	124	2062
57	126	2057
58	128	2050
59	130	2039
60	131	2028
61	133	2018
62	135	2009
63	136	1999
64	139	2005
65	141	2001
66	143	1996
67	145	1994
68	147	1990
69	149	1986
70	151	1979
71	153	1972
72	155	1976
73	157	1970
74	159	1968
75	161	1963
76	163	1961
77	165	1957
78	167	1952
79	169	1945
80	171	1948
81	173	1943
82	175	1936
83	176	1929
84	178	1922
85	180	1918
86	182	1911
87	183	1904
88	185	1897
89	187	1900
90	190	1901
91	192	1894
92	193	1888
93	195	1885
94	197	1879
95	198	1873
96	200	1867
97	203	1871
98	205	1869
99	207	1863
100	208	1857
101	210	1854
102	212	1849
103	214	1844
104	215	1839
105	217	1834
106	220	1839
107	222	1835
108	223	1829
109	225	1826
110	227	1821
111	229	1816
112	230	1811
113	232	1806
114	235	1809
115	237	1808
116	239	1806
117	241	1805
118	243	1806
119	245	1803
120	248	1802
121	250	1802
122	252	1801
123	254	1796
124	256	1793
125	257	1789
126	259	1784
127	261	1780
128	263	1775
129	265	1774
130	267	1776
131	269	1772
132	271	1768
133	272	1764
134	274	1761
135	277	1759
136	279	1758
137	281	1755
138	283	1759
139	285	1754
140	287	1753
141	289	1750
142	291	1746
143	293	1743
144	294	1739
145	296	1735
146	299	1736
147	301	1734
148	303	1731
149	304	1727
150	306	1723
151	308	1720
152	310	1716
153	311	1712
154	313	1708
155	315	1709
156	317	1705
157	319	1702
158	321	1699
159	322	1695
160	324	1692
161	326	1688
162	328	1685
163	330	1682
164	332	1682
165	334	1680
166	336	1677
167	338	1674
168	341	1677
169	342	1674
170	344	1670
171	346	1669
172	349	1668
173	350	1664
174	352	1662
175	354	1660
176	357	1660
177	359	1658
178	361	1656
179	363	1656
180	365	1653
181	367	1650
182	369	1648
183	371	1646
184	373	1644
185	375	1642
186	377	1640
187	379	1640
188	381	1637
189	383	1633
190	384	1630
191	386	1627
192	388	1624
193	390	1621
194	392	1619
195	395	1620
196	397	1620
197	399	1619
198	402	1620
199	404	1618
200	406	1616
201	408	1614
202	411	1616
203	413	1613
204	415	1612
205	417	1610
206	419	1607
207	421	1606
208	423	1604
209	425	1601
210	428	1600
211	430	1600
212	432	1598
213	434	1597
214	436	1595
215	438	1592
216	440	1588
217	442	1587
218	444	1585
219	446	1582
220	447	1578
221	449	1575
222	451	1572
223	453	1569
224	454	1566
225	456	1563
226	458	1561
227	460	1559
228	462	1556
229	463	1553
230	465	1549
