,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.007049131393432617,0.007151780380961512,0.00020003318786621094,0.0004000663757324219,1,3,linear,,"{'C': 1, 'degree': 3, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,0.9583333333333334,0.9916666666666666,0.016666666666666653,1
1,0.000999307632446289,0.0012639523874689248,0.00039992332458496096,0.0004898040465379741,1,4,linear,,"{'C': 1, 'degree': 4, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,0.9583333333333334,0.9916666666666666,0.016666666666666653,1
2,0.00159759521484375,0.0004883876280464314,0.00120086669921875,0.0007477715312957112,1,5,linear,,"{'C': 1, 'degree': 5, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,0.9583333333333334,0.9916666666666666,0.016666666666666653,1
43,0.0,0.0,0.0,0.0,1000,3,sigmoid,0.001,"{'C': 1000, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",1.0,1.0,1.0,1.0,0.9583333333333334,0.9916666666666666,0.016666666666666653,1
46,0.0,0.0,0.0,0.0,1000,4,sigmoid,0.001,"{'C': 1000, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",1.0,1.0,1.0,1.0,0.9583333333333334,0.9916666666666666,0.016666666666666653,1
15,0.0,0.0,0.0,0.0,1,,linear,0.0001,"{'C': 1, 'gamma': 0.0001, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,0.9583333333333334,0.9916666666666666,0.016666666666666653,1
13,0.0,0.0,0.003125,0.006250000000000001,1,,linear,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,0.9583333333333334,0.9916666666666666,0.016666666666666653,1
20,0.0,0.0,0.0,0.0,100,,rbf,0.001,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",1.0,1.0,1.0,0.9583333333333334,0.9583333333333334,0.9833333333333334,0.02041241452319313,8
40,0.0,0.0,0.003124856948852539,0.006249713897705078,100,4,sigmoid,0.001,"{'C': 100, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.9583333333333334,1.0,1.0,0.9583333333333334,0.9583333333333334,0.975,0.020412414523193135,9
37,0.0031246185302734376,0.006249237060546875,0.0031246662139892576,0.006249332427978514,100,3,sigmoid,0.001,"{'C': 100, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.9583333333333334,1.0,1.0,0.9583333333333334,0.9583333333333334,0.975,0.020412414523193135,9
19,0.0,0.0,0.0,0.0,10,,linear,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'linear'}",0.9583333333333334,0.9583333333333334,1.0,1.0,0.9166666666666666,0.9666666666666668,0.031180478223116186,11
3,0.0012070178985595704,0.0007563650254606822,0.0005996227264404297,0.0004895900298295808,10,3,linear,,"{'C': 10, 'degree': 3, 'kernel': 'linear'}",0.9583333333333334,0.9583333333333334,1.0,1.0,0.9166666666666666,0.9666666666666668,0.031180478223116186,11
50,0.0030869007110595702,0.0033925917281565658,0.0013994693756103516,0.0014959049422754143,1,,,1,"{'C': 1, 'gamma': 1}",0.9583333333333334,1.0,1.0,0.9583333333333334,0.9166666666666666,0.9666666666666668,0.031180478223116186,11
4,0.003124904632568359,0.0062498092651367175,0.0,0.0,10,4,linear,,"{'C': 10, 'degree': 4, 'kernel': 'linear'}",0.9583333333333334,0.9583333333333334,1.0,1.0,0.9166666666666666,0.9666666666666668,0.031180478223116186,11
5,0.0,0.0,0.0,0.0,10,5,linear,,"{'C': 10, 'degree': 5, 'kernel': 'linear'}",0.9583333333333334,0.9583333333333334,1.0,1.0,0.9166666666666666,0.9666666666666668,0.031180478223116186,11
17,0.0,0.0,0.003124713897705078,0.006249427795410156,10,,linear,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",0.9583333333333334,0.9583333333333334,1.0,1.0,0.9166666666666666,0.9666666666666668,0.031180478223116186,11
44,0.003124856948852539,0.006249713897705078,0.003124856948852539,0.006249713897705078,1000,3,sigmoid,0.0001,"{'C': 1000, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.9166666666666666,1.0,1.0,0.9583333333333334,0.9583333333333334,0.9666666666666666,0.03118047822311619,17
47,0.0,0.0,0.0,0.0,1000,4,sigmoid,0.0001,"{'C': 1000, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.9166666666666666,1.0,1.0,0.9583333333333334,0.9583333333333334,0.9666666666666666,0.03118047822311619,17
48,0.0031248092651367187,0.006249618530273437,0.0031248092651367187,0.006249618530273437,0.1,,,1,"{'C': 0.1, 'gamma': 1}",0.9166666666666666,1.0,1.0,0.9583333333333334,0.9583333333333334,0.9666666666666666,0.03118047822311619,17
