,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
71,2,1225,0.05528922080993652,0.006410504180181637,0.014751243591308593,0.0069322692188392146,100,,rbf,0.001,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.9959183673469387,0.9877551020408163,0.9836065573770492,0.9918032786885246,0.9959016393442623,0.9909969889595182,0.004776064771852415,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
70,2,1225,0.02499866485595703,0.007654052028390451,0.01562342643737793,5.560829062314321e-07,100,,rbf,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",0.9836734693877551,0.9795918367346939,0.9754098360655737,0.9959016393442623,0.9918032786885246,0.9852760120441619,0.007585889344329891,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
68,2,1225,0.021586799621582033,0.002153077476740853,0.004997110366821289,3.2340669551493016e-07,1000,5,linear,,"{'C': 1000, 'degree': 5, 'kernel': 'linear'}",0.9755102040816327,0.963265306122449,0.9672131147540983,0.9795081967213115,0.9877049180327869,0.9746403479424556,0.008714252260785066,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
67,2,1225,0.021587038040161134,0.002058222102516766,0.004996728897094726,1.049041748046875e-06,1000,4,linear,,"{'C': 1000, 'degree': 4, 'kernel': 'linear'}",0.9755102040816327,0.963265306122449,0.9672131147540983,0.9795081967213115,0.9877049180327869,0.9746403479424556,0.008714252260785066,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
69,2,1225,0.016770267486572267,0.0014383305290490303,0.011373949050903321,0.005206744849862504,1,3,linear,,"{'C': 1, 'degree': 3, 'kernel': 'linear'}",0.9755102040816327,0.963265306122449,0.9672131147540983,0.9795081967213115,0.9877049180327869,0.9746403479424556,0.008714252260785066,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
57,1,350,0.012192010879516602,0.0014682506174618748,0.003198099136352539,0.0003998518381055636,100,,rbf,0.001,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",1.0,0.9714285714285714,0.927536231884058,0.9710144927536232,0.9710144927536232,0.9681987577639752,0.023199346723824503,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
62,1,350,0.006249523162841797,0.007654071442333433,0.006249618530273437,0.0076541882445915225,100,,rbf,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",0.9714285714285714,0.9714285714285714,0.9130434782608695,0.9565217391304348,0.927536231884058,0.9479917184265009,0.023711346781039578,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
52,1,350,0.004996109008789063,1.5033610125002334e-06,0.0013989925384521485,0.0007992029670158152,10,,linear,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",0.9714285714285714,0.9714285714285714,0.8840579710144928,0.9420289855072463,0.8985507246376812,0.9334989648033126,0.03637543876904873,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
53,1,350,0.005596160888671875,0.000489590053050404,0.0011993885040283204,0.00040011432937742076,10,5,linear,,"{'C': 10, 'degree': 5, 'kernel': 'linear'}",0.9714285714285714,0.9714285714285714,0.8840579710144928,0.9420289855072463,0.8985507246376812,0.9334989648033126,0.03637543876904873,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
55,1,350,0.005197000503540039,0.0007478314151646011,0.001399087905883789,0.0004895511426938356,100,3,linear,,"{'C': 100, 'degree': 3, 'kernel': 'linear'}",0.9714285714285714,0.9714285714285714,0.8840579710144928,0.9420289855072463,0.8985507246376812,0.9334989648033126,0.03637543876904873,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
